Word,Count,Reading,JLPT Level,Meaning
措く,1,オク,unknown,to stop (doing something)
けしき,1,ケシキ,jlpt-n4,scenery
未,1,ミ,unknown,not yet
下り,1,クダリ,jlpt-n3,down-train
刻,1,コク,jlpt-n3,time
申,1,サル,unknown,the Monkey (ninth sign of the Chinese zodiac)
影響,1,エイキョウ,jlpt-n3,influence
Sentimentalisme,1,*,unknown,unknown
平安朝,1,ヘイアンチョウ,unknown,Heian period (794-1185)
少い,1,スクナイ,jlpt-n5,few
樣,1,*,unknown,unknown
刻限,1,コクゲン,unknown,time
啄む,1,ツイバム,unknown,to pick at
肉,1,ニク,jlpt-n5,flesh
さびれる,1,サビレル,unknown,to decline (in prosperity)
始末,1,シマツ,jlpt-n1,management
薪,1,タキギ,unknown,piece(s) of firewood (esp. chopped or split from logs)
つむ,1,ツム,jlpt-n2,to pile up
ば,1,バ,jlpt-n3,place
路,1,ミチ,jlpt-n5,road
木,1,キ,jlpt-n5,tree
箔,1,ハク,unknown,foil
金銀,1,キンギン,unknown,gold and silver
打砕く,1,ウチクダク,unknown,unknown
具,1,グ,jlpt-n4,wife
像,1,ゾウ,jlpt-n1,image
よる,1,ヨル,jlpt-n3,evening
起つ,1,タツ,unknown,to take action
きり,1,キリ,jlpt-n3,fog
災,1,ワザワイ,jlpt-n1,calamity
饑饉,1,キキン,jlpt-n2,famine
火事,1,カジ,jlpt-n4,fire
辻,1,ツジ,unknown,crossroads
地震,1,ジシン,jlpt-n4,earthquake
もの,1,モノ,jlpt-n5,thing
揉烏帽,1,*,unknown,"soft, crumpled, unlacquered headwear (often worn by soldiers under their helmets from the Kamakura period onward)"
笠,1,カサ,unknown,conical hat (East-Asian style)
市,1,シ,jlpt-n4,city
以上,1,イジョウ,jlpt-n4,not less than ...
匹,1,ヒキ,jlpt-n1,counter for small animals
剥げる,1,ハゲル,jlpt-n1,to peel off
修理,1,シュウリ,jlpt-n3,repair
元,1,モト,jlpt-n3,origin
捨てる,1,ステル,jlpt-n4,to throw away
顧,1,*,jlpt-n1,to look back on (the past)
はつ,1,ハツ,jlpt-n1,departure
まく,1,マク,jlpt-n3,curtain
胡麻,1,ゴマ,unknown,sesame seeds
あかい,1,アカイ,jlpt-n5,red
燒,1,*,unknown,shumai
上の空,1,ウワノソラ,unknown,inattention
びまはつてゐる,1,*,unknown,unknown
飛,1,ヒ,unknown,rook
鴟尾,1,シビ,unknown,ornamental ridge-end tile
描く,1,エガク,jlpt-n3,to draw
輪,1,ワ,jlpt-n3,ring
晝間見,1,*,unknown,unknown
集,1,シュウ,unknown,collection
たくさん,1,タクサン,jlpt-n1,a lot
代り,1,カワリ,jlpt-n4,substitute
しま,1,シマ,jlpt-n4,island
足ぶみ,1,アシブミ,unknown,stepping (in place)
近所,1,キンジョ,jlpt-n4,neighbourhood
氣味,1,*,unknown,unknown
日の目,1,ヒノメ,unknown,sunlight
習慣,1,シュウカン,jlpt-n4,habit
引取,1,*,unknown,taking
まひ,1,マヒ,jlpt-n1,paralysis
狐狸,1,コリ,unknown,foxes and tanuki
荒れ果てる,1,アレハテル,unknown,to fall into ruin
うすい,1,ウスイ,jlpt-n5,thin
支,1,*,unknown,China
髮頭,1,*,unknown,unknown
ゆれる,1,ユレル,jlpt-n4,to shake
狹,1,*,unknown,unknown
圍,1,*,unknown,unknown
範,1,ハン,unknown,example
及ぶ,1,オヨブ,jlpt-n1,to reach
無造作,1,ム,unknown,easy
噂,1,ウワサ,jlpt-n3,rumour
つめる,1,ツメル,jlpt-n3,to stuff into
上り,1,ノボリ,jlpt-n2,ascent
ぬすむ,1,ヌスム,jlpt-n4,to steal
足音,1,アシオト,unknown,sound of footsteps
守宮,1,ヤモリ,unknown,gecko
映る,1,ウツル,jlpt-n2,to be reflected
裏,1,ウラ,jlpt-n4,opposite side
着る,1,キル,jlpt-n5,to wear (from the shoulders down)
天井,1,テンジョウ,jlpt-n1,ceiling
巣,1,ス,jlpt-n3,nest
蜘蛛,1,クモ,unknown,spider
隅々,1,スミ,unknown,every corner
黄いろい,1,キイロイ,jlpt-n5,yellow
濁る,1,ニゴル,jlpt-n2,to become muddy
其處此,1,*,jlpt-n1,this
とぼしい,1,トボシイ,jlpt-n1,meagre
括る,1,ククル,unknown,to tie up
高,1,コウ,jlpt-n1,quantity
始め,1,ハジメ,jlpt-n1,beginning
鬚,1,ヒゲ,jlpt-n4,moustache
おぼろ,1,オボロ,unknown,hazy
甞,1,*,jlpt-n1,to lick
遑,1,*,jlpt-n1,spare time
それら,1,ソレラ,unknown,those (near the second person)
痩せる,1,ヤセル,jlpt-n4,to become thin
背,1,セ,jlpt-n5,back
著い,1,シルイ,jlpt-n1,well-known
蹲,1,ツクバイ,unknown,stone wash basin found in Japanese gardens
其屍骸,1,*,jlpt-n2,shell
嗅覺,1,*,unknown,unknown
殆悉,1,*,unknown,unknown
感情,1,カンジョウ,jlpt-n3,emotion
瞬間,1,シュンカン,jlpt-n3,moment
次,1,ツギ,jlpt-n5,next
臭い,1,クサイ,jlpt-n3,stinking
腐爛,1,フラン,unknown,decomposition
永久,1,エイキュウ,jlpt-n3,eternity
生きる,1,イキル,jlpt-n4,to live
影,1,カゲ,jlpt-n3,shadow
うける,1,ウケル,jlpt-n4,to receive
ぼんやり,1,ボンヤリ,jlpt-n3,dimly
胸,1,ムネ,jlpt-n3,chest
